Licence No.,Premises Name,Premises Address,場所名稱,場所地址,Premises Phone No.,Premises Fax No.,Premises Email Address
H/0082,PARK MOTEL,"Flat G, 6/F, Lyton Building,32-48 Mody Road,Tsim Sha Tsui, Kowloon.",PARK MOTEL,九龍尖沙咀麼地道32-48號麗東大廈6字樓G室,2722 1589,,
H/0087,"RENAISSANCE HARBOUR VIEW HOTEL, HK","1 Harbour Road,Wan Chai, Hong Kong.",萬麗海景酒店,香港灣仔港灣道1號,2802 8888,2802 8833,
H/0089,SUN KONG HOTEL,"1 Tung Shing Lei Road,Yuen Long, New Territories.",新港酒店,新界元朗東成里路1號,2473 6622,2476 0955,sunkonghotel@gmail.com
H/0094,MAY LAI KUNG GUEST HOUSE,"1/F, On Keung Building,91 & 93 Shung Ling Street,San Po Kong, Kowloon.",美麗宮賓館,九龍新蒲崗崇齡街91&93號安強大樓1字樓,,,mayx1223@gmail.com
H/0097,PARK GUEST HOUSE,"Flat A1 & A2, Block A,15/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",百樂賓館,九龍尖沙咀彌敦道40號重慶大廈A座15字樓A1-A2室,2368 1689,2367 7889,parkinnhk@gmail.com
H/0099,KENT MOTEL,"20 Kent Road,Kowloon Tong,Kowloon.",根德小築,九龍九龍塘根德道20號,2338 3517,,
H/0101,ESSEX LODGE,"18-20 Essex Crescent,Kowloon Tong,Kowloon.",雅悉酒店,九龍九龍塘雅息士道18-20號,2338 1233,,
H/0103,CONRAD HONG KONG,"Pacific Place II,88 Queensway,Central, Hong Kong.",港麗酒店,香港中環金鐘道88號太古廣場2期,2521 3838,2845 1711,
H/0104,EMPIRE HOTEL HONG KONG,"33 Hennessy Road,Wan Chai, Hong Kong.",港島皇悅酒店,香港灣仔軒尼詩道33號,3692 2111,,
H/0106,CLEVERYEAR HOTEL,"Flat 2501, 25/F, Sun Hing Building,607 Nathan Road, Mong Kok,Kowloon.",活年旅舘,九龍旺角彌敦道607號新興大廈25字樓2501室,2771 1037,2374 0278,cleveryear@yahoo.com.hk
H/0107,MONICA MOTEL,"1/F, 29A Cameron Road,Tsim Sha Tsui, Kowloon.",MONICA MOTEL,九龍尖沙咀金馬倫道29A號1字樓,9235 0612,,jumby2000@gmail.com
H/0109,WING HING HOSTEL,"Flat C, 4/F, Siu Hing Building,230-236 Temple Street,Jordan, Kowloon.",永興賓館,九龍佐敦廟街230-236號韶興大廈4字樓C室,2770 9798,,
H/0117,WELCOME GUEST HOUSE,"Flat A5, 14/F, Block A,Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",惠康賓館,九龍尖沙咀彌敦道40號重慶大廈A座14字樓A5室,2367 5407,2367 5321,
H/0118,WELCOME GUEST HOUSE,"Flat A6 & A7, Block A,14/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",惠康賓館,九龍尖沙咀彌敦道40號重慶大廈A座14字樓A6&A7室,,,
H/0119,RHINE GUEST HOUSE,"Flat A1, Block A, 13/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",萊茵迎賓館,九龍尖沙咀彌敦道40號重慶大廈A座13字樓A1室,2367 1991,,
H/0122,PEKING GUEST HOUSE,"Flat A2, Block A,12/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",北京賓館,九龍尖沙咀彌敦道40號重慶大廈A座12字樓A2室,2723 8320,2366 6706,ngpekhotel@yahoo.com.hk
H/0125,OCEAN GUEST HOUSE,"Flat A4, Block A,15/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",海都賓館,九龍尖沙咀彌敦道40號重慶大廈A座15字樓A4室,2721 3255,2366 6706,philipcheung91@yahoo.com.hk
H/0134,NEW GUANGZHOU GUEST HOUSE,"Flat D6, Block D,13/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",NEW GUANGZHOU GUEST HOUSE,九龍尖沙咀彌敦道40號重慶大廈D座13字樓D6室,2153 1197,2722 4807,14everesthostel@gmail.com
H/0135,NEW MING YUEN VILLA,"Flat B, 1/F, Good View Building,61-65 Tai Tong Road,Yuen Long, New Territories.",新明苑賓館,新界元朗大棠路61-65號好景樓1字樓B室,2474 1587/6097 8783,,
H/0136,THE WORLD TRAVEL AND TRADING COMPANY,"Flat A2, Block A, 3/F,Pak On Building, 105 Austin Road,Tsim Sha Tsui, Kowloon.",全球旅遊貿易公司,九龍尖沙咀柯士甸道105號百安大廈A座3字樓A2室,2724 0993,,
H/0138,CAPITAL GUEST HOUSE,"Flat A6, Block A,13/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",首都賓館,九龍尖沙咀彌敦道40號重慶大廈A座13字樓A6室,2366 3455,,
H/0139,ROYAL CAPITAL GUEST HOUSE,"Flat A7, Block A,13/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",首都賓館,九龍尖沙咀彌敦道40號重慶大廈A座13字樓A7室,2366 3455,,
H/0141,DOUBLE STAR GUEST HOUSE,"Flat A6, Block A,12/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",DOUBLE STAR GUEST HOUSE,九龍尖沙咀彌敦道40號重慶大廈A座12字樓A6室,2723 8320,2366 6706,ngpekhotel@yahoo.com.hk
H/0142,NEW INTERNATIONAL GUEST HOUSE,"Flat A6 & A7, Block A,11/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",新國際賓館,九龍尖沙咀彌敦道40號重慶大廈A座11字樓A6 & A7室,2368 1689,2367 7889,
H/0144,NEW ASIA GUEST HOUSE,"Flat A6 & A7, Block A,8/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",新亞招待所,九龍尖沙咀彌敦道40號重慶大廈A座8字樓A6 & A7室,2724 0426,2724 5071,
H/0145,WELCOME GUEST HOUSE,"Flat A5, Block A,15/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",惠康賓館,九龍尖沙咀彌敦道40號重慶大廈A座15字樓A5室,6743 0363,,
H/0147,WELCOME GUEST HOUSE,"Flat A5, Block A,7/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",惠康賓館,九龍尖沙咀彌敦道40號重慶大廈A座7字樓A5室,6743 0363,,
H/0149,GARDEN VIEW INTERNATIONAL HOUSE,"G/F & 7/F-20/F, Hong Kong YWCA Headquarters,1 MacDonnell Road,Mid-Levels, Hong Kong.",花園國際賓館,香港半山區麥當勞道1號香港基督教女青年會總部地下& 7-20字樓,2877 3377,2845 6263,gardenview@yhk.com.hk
H/0150,NATHAN HOTEL,"378 Nathan Road,Yau Ma Tei,Kowloon.",彌敦酒店,九龍油麻地彌敦道378號,2388 5141,2770 4262,info@nathanhotel.com
H/0153,PRUDENTIAL HOTEL,"222 Nathan Road,Tsim Sha Tsui, Kowloon.",PRUDENTIAL HOTEL,九龍尖沙咀彌敦道222號,2311 8222,2311 4760,info@prudentialhotel.com
H/0157,NOVOTEL CENTURY HONG KONG,"238 Jaffe Road,Wan Chai, Hong Kong.",香港諾富特世紀酒店,香港灣仔謝斐道238號,2598 8888,2598 8866,H3562@accor.com
H/0159,FAI YUEN VILLA,"Room 2, 5/F, James S Lee Mansion,33 Carnarvon Road,Tsim Sha Tsui, Kowloon.",暉苑別墅,九龍尖沙咀加拿分道33號發利大廈5字樓2室,2722 7476,,
H/0165,JADE VILLA MOTEL,"Flat 5, 1/F, Po Shing Mansion,85A Tai Ho Road,Tsuen Wan, New Territories.",翠園賓館,新界荃灣大河道85A號寶成樓1字樓5室,2493 0795,,
H/0166,PARIS MOTEL,"1/F, 81 Chung On Street,Tsuen Wan,New Territories.",巴黎賓館,新界荃灣眾安街81號1字樓,,,
H/0176,MANDARIN ORIENTAL HONG KONG,"Mandarin Oriental HK,5 Connaught Road Central,Central, Hong Kong.",香港文華東方酒店,香港中環干諾道中5號香港文華東方酒店,2522 0111,2810 6190,
H/0181,SHANGHAI HUNG TAK APARTMENT,"1/F, Hung Tak Building,77 Bute Street, Mong Kok, Kowloon.",上海鴻德別墅,九龍旺角弼街77號鴻德大廈1字樓,2394 8890,,hongtak77@hotmail.com
H/0182,EMPEROR GARDEN HOTEL,"Flat A, 3/F, Bik Lan House,43 Pitt Street,Yau Ma Tei, Kowloon.",御花園酒店,九龍油麻地碧街43號碧蘭大樓3字樓A室,2332 0147,8147 1991/8169 9739,
H/0183,MI CASA,"1/F, Tai Tat Building,26-34 Pilkem Street,Jordan, Kowloon.",天希旅遊,九龍佐敦庇利金街26-34號大達大廈1字樓,2390 3331,,waldw124@yahoo.com
H/0186,THE SALVATION ARMY BOOTH LODGE,"7/F-11/F & 14/F, Salvation Army Headquarter,11 Wing Sing Lane,Yau Ma Tei, Kowloon.",救世軍卜維廉賓館,九龍油麻地永星里11號救世軍總部7-11 & 14字樓,2771 9266,2385 1140,reservations.boothlodge@hkt.salvationarmy.org
H/0187,CARITAS BIANCHI LODGE,"G/F & 10/F-17/F, Caritas Social Centre,4 Cliff Road,Yau Ma Tei, Kowloon.",明愛白英奇賓館,九龍油麻地石壁道4號油麻地明愛服務中心地下、10-17字樓,2388 1111,2770 6669,cblresv@bianchi-lodge.com
H/0200,WELLCOME GUEST HOUSE,"Flat A1, Block A,6/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",惠康賓館,九龍尖沙咀彌敦道40號重慶大廈A座6字樓A1室,6743 0363,,
H/0205,RHINE GUEST HOUSE,"Flat A8, 11/F, Block A,Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",萊茵迎賓舘,九龍尖沙咀彌敦道40號重慶大廈A座11字樓A8室,2367 1991,2316 2428,
H/0206,THE MARCO POLO GATEWAY,"Harbour City, 13 Canton Road,Tsim Sha Tsui, Kowloon.",THE MARCO POLO GATEWAY,九龍尖沙咀廣東道13號海港城,2113 0888,2113 0022,gateway@marcopolohotels.com
H/0207,THE MARCO POLO HONGKONG HOTEL,"Harbour City, 3 Canton Road,Tsim Sha Tsui, Kowloon.",THE MARCO POLO HONGKONG HOTEL,九龍尖沙咀廣東道3號海港城,2113 0088,2113 0000,
H/0209,MEI WAH GUESTHOUSE,"Flat F, 9/F, Kingland Apartments,739 Nathan Road, Mong Kok,Kowloon.",美華賓館,九龍旺角彌敦道739號金輪大廈9字樓F室,2393 6210,2395 4092,meiwah1986@netvigator.com
H/0226,FUK LAM TRAVEL TRADING COMPANY,"Flat A, 10/F, Golden Crown Court,68 Nathan Road, Tsim Sha Tsui,Kowloon.",富臨旅遊貿易公司,九龍尖沙咀彌敦道68號金冠大廈10字樓A室,2739 0021,,
H/0230,HARBOUR GUEST HOUSE,"Flat B8, Block B,4/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",海港賓館,九龍尖沙咀彌敦道40號重慶大廈B座4字樓B8室,2721 2207,,harbourhk@gmail.com
H/0235,CITY GARDEN HOTEL,"9 City Garden Road,North Point, Hong Kong.",城市花園酒店,香港北角城市花園道9號,2887 2888,2887 1111,info@citygarden.com.hk
H/0239,CITY ECONO GUEST HOUSE LIMITED,"Flat A-C, 5/F, Cumberland House,227 Nathan Road,Jordan, Kowloon.",京樺旅舘有限公司,九龍佐敦彌敦道227號金百龍大廈5字樓A-C室,2730 0212,2730 0268,cityecono@yahoo.com
H/0244,THE LUXE MANOR,"39-43A Kimberley Road,Tsim Sha Tsui, Kowloon.",帝樂文娜公館,九龍尖沙咀金巴利道39-43A號,3763 8888,3763 8899,admin@theluxemanor.com
H/0245,PALACE DE CHERE (A),"Flat 2 & 3, 2/F, Cambridge Building,41 Hong Ning Road,Kwun Tong, Kowloon.",翠麗宮賓館(A),九龍觀塘康寧道41號金僑華廈2字樓2&3室,2341 2359,,
H/0247,PALACE DE BELLE,"Flat 1, 2/F, Cambridge Building,41 Hong Ning Road,Kwun Tong, Kowloon.",碧麗宮賓館,九龍觀塘康寧道41號金僑華廈2字樓1室,2341 4266,,
H/0248,PALACE DE CHERE (B),"Flat 5, 2/F, Cambridge Building,41 Hong Ning Road,Kwun Tong, Kowloon.",翠麗宮賓館 (B),九龍觀塘康寧道41號金僑華廈2字樓5室,2341 2359,,
H/0260,PAK TAK HOSTEL,"Flat A, 7/F, Hyde Park Mansion,53 Paterson Street,Causeway Bay, Hong Kong.",百德賓館,香港銅鑼灣百德新街53號海德大廈7字樓A室,2890 2071/2890 7067,2576 8475,
H/0266,CHINA (HK) HOTEL,"1/F,25-31 Tsat Tsz Mui Road,North Point, Hong Kong.",中港酒店,香港北角七姊妹道25-31號1字樓,2561 4618,2854 3450,
H/0277,CHINA (H.K.) HOTEL,"1/F & 2/F, Parkes Mansion,1-11 Parkes Street,Tsim Sha Tsui, Kowloon.",中港酒店,九龍尖沙咀白加士街1-11號康寧大廈1&2字樓,2730 1113,2723 5398,
H/0278,BEVERLY HOTEL LIMITED,"4/F, Capital Building,181 Lockhart Road,Wan Chai, Hong Kong.",香港比華利酒店有限公司,香港灣仔駱克道181號京城大廈4字樓,2507 2026,2877 9277,
H/0286,FAIRY VILLA,"Flat C & D, 1/F, Kam Wah Building,10-16 Tung Lok Street,Yuen Long, New Territories.",富麗小築,新界元朗同樂街10-16號金華樓1字樓C&D室,2475 0357,,
H/0297,COSMOS GUESTHOUSE,"Flat B6, Block B,15/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",宇宙賓館,九龍尖沙咀彌敦道40號重慶大廈B座15字樓B6室,2722 6706,,
H/0299,NEW MARCO POLO,"Flat A & B, 1/F,1 Tak Hing Street,Jordan, Kowloon.",新馬可勃羅別墅,九龍佐敦德興街1號1字樓A&B室,2721 5291,,
H/0301,ORIENT GUEST HOUSE,"Flat A&C, 3/F, Woosung House,127 Woosung Street,Jordan, Kowloon.",東方賓館,九龍佐敦吳松街127號吳淞大樓3字樓A&C室,2771 9046,2771 9046,
H/0302,TUNG FONG INTERNATIONAL CO,"Flat D, 3/F, Woosung House,127 Woosung Street,Jordan, Kowloon.",東方國際公司,九龍佐敦吳松街127號吳淞大樓3字樓D室,2771 9046,2771 9046,
H/0306,HOLIDAY GUEST HOUSE,"Flat D7 & E1, Block D & E,6/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",HOLIDAY GUEST HOUSE,九龍尖沙咀彌敦道40號重慶大廈D座6字樓D7室& E座6字樓E1室,2316 7152,2724 5071,
H/0307,KINNING COMPANY,"Flat 820, Block B, 8/F, Bell House,525-543A Nathan Road, Yau Ma Tei, Kowloon.",建寧公司,九龍油麻地彌敦道525-543A號寶寧大廈B座8字樓820室,2780 7081,,bernardtai@gmail.com
H/0324,LAI YUEN VILLA,"Block C, D & G, 1/F, Ng Po House,103-109 Sai Yeung Choi Street South,Mong Kok, Kowloon.",麗苑賓館,九龍旺角西洋菜南街103-109號五寶大廈1字樓C、D、G座,,,
H/0334,WAH DO VILLA,"1/F,54-56 Un Chau Street,Sham Shui Po, Kowloon.",華都別墅,九龍深水埗元洲街54-56號1字樓,2725 1863,,
H/0338,PARK HOTEL,"61-65 Chatham Road South,Tsim Sha Tsui, Kowloon.",百樂酒店,九龍尖沙咀漆咸道南61-65號,2731 2100,2721 8505,info.phhk@parkhotelgroup.com
H/0349,ELEGANCE INN,"Flat 5, Block B, 2/F, Yin Hing Building,34-58 Yin Hing Street,San Po Kong, Kowloon.",高雅賓館,九龍新蒲崗衍慶街34-58號衍慶大廈B座2字樓5室,2320 2506,,
H/0352,YING BUN VILLA,"2/F,137 Sai Yee Street,Mong Kok, Kowloon.",迎賓賓館,九龍旺角洗衣街137號2字樓,2394 0206,,
H/0358,SOUTH PACIFIC HOTEL,"23 Morrison Hill Road,Wan Chai, Hong Kong.",南洋酒店,香港灣仔摩理臣山道23號,2572 3838,2893 7773,info@southpacifichotel.com.hk
H/0370,GEE PAK VILLA,"Flat 201, Block A, 1/F, I-Feng Mansions,237 To Kwa Wan Road,To Kwa Wan, Kowloon.",芝栢別墅,九龍土瓜灣土瓜灣道237號益豐大廈1字樓A座201室,2333 9131,2393 9303,
H/0374,THE ROYAL GARDEN,"69 Mody Road,Tsim Sha Tsui East, Kowloon.",帝苑酒店,九龍尖沙咀東麼地道69號,2721 5215,2369 9976,htlinfo@rghk.com.hk
H/0377,KAM MUN GUEST HOUSE,"Flat 2101,21/F, Sun Hing Building,607 Nathan Road, Mong Kok, Kowloon.",金門賓館,九龍旺角彌敦道607號新興大廈21字樓2101室,2388 3686,2388 2390,luyaxing@gmail.com
H/0382,WELLCOME GUEST HOUSE,"Flat A2, Block A,6/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",惠康賓館,九龍尖沙咀彌敦道40號重慶大廈A座6字樓A2室,2366 5975,,
H/0384,SUM SUM APARTMENT,"Flat 4, Block B, 2/F,Yin Hing Building, 34-58 Yin Hing Street,San Po Kong, Kowloon.",心心賓館,九龍新蒲崗衍慶街34-58號衍慶大廈B座2字樓4室,2321 3457,,
H/0397,WAH MEI APARTMENT,"1/F, 230 Sha Tsui Road,Tsuen Wan,New Territories.",華美公寓,新界荃灣沙咀道230號1字樓,2492 2797,,
H/0399,THE MARCO POLO PRINCE,"23 Canton Road,Tsim Sha Tsui,Kowloon.",香港太子酒店,九龍尖沙咀廣東道23號,2113 1888,2113 0066,
H/0424,PARK EXCELLENT VILLA,"1/F, Po Hang Building,2-8 Dundas Street,Mong Kok, Kowloon.",百佳酒店,九龍旺角登打士街2-8號寶亨大廈1字樓,2770 1028,2381 0870,
H/0428,KAM TAI HOTEL,"1/F, Prince House,48 Nullah Road,Mong Kok, Kowloon.",金泰酒店,九龍旺角水渠道48號皇太子大廈1字樓,2380 8343,,
H/0432,"THE PARK LANE HONG KONG, A PULLMAN HOTEL","G/F, 6/F-26/F & 28/F, The Park Lane,310 Gloucester Road,Causeway Bay, Hong Kong.",柏寧酒店,香港銅鑼灣告士打道310號地下、6-26 & 28字樓,2293 8888,2576 7853,info@parklane.com.hk
H/0433,CARLTON GUEST HOUSE,"Flat B7 & C1, Block B & C,15/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",卡爾登迎賓館,九龍尖沙咀彌敦道40號重慶大廈B&C座15字樓B7&C1室,2366 6976,,chuchuhim@gmail.com
H/0441,TO YUEN GUEST HOUSE,"Flat 2A, 1/F, 362 Prince Edward Road,J/O Fuk Lo Tsuen Road,Kowloon City, Kowloon.",桃園賓館,九龍九龍城太子道362號福佬村道交界1字樓2A室,2716 7074/2716 7228,,
H/0445,DRAGON HOSTEL,"Flat 707, 7/F, Sincere House,83 Argyle Street,Mong Kok, Kowloon.",龍群賓館,九龍旺角亞皆老街83號先施大廈7字樓707室,23950577,,dragonhostel@yahoo.com
H/0448,STANFORD HOTEL,"118 Soy Street,Mong Kok, Kowloon.",仕德福酒店,九龍旺角豉油街118號,2781 1881,2388 3733,stanford@stanfordhotel.com
H/0449,AH SHAN HOSTEL LIMITED,"Flat 1406, 14/F, Sincere House,83 Argyle Street,Mong Kok, Kowloon.",阿山龍祥旅館有限公司,九龍旺角亞皆老街83號先施大廈14字樓1406室,2787 5934,2787 5495,1406@ahshanhotel.com
H/0469,THE WHARNEY GUANG DONG HOTEL HONG KONG,"57-73 Lockhart Road,Wan Chai, Hong Kong.",香港華美粵海酒店,香港灣仔駱克道57-73號,2861 1000,2865 1010,eo@wharney.com
H/0473,LAI HO VILLA,"9/F, 37 Dundas Street,Mong Kok, Kowloon.",麗豪別墅,九龍旺角登打士街37號9字樓,2384 2113,,
H/0475,NEW HARBOUR GUEST HOUSE,"Flat C1, Block C,9/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",新港旅舍,九龍尖沙咀彌敦道40號重慶大廈C座9字樓C1室,2367 2777,,
H/0483,NEW COMFORT HOTEL LIMITED,"5/F, Champagne Court,40-46 Carnarvon Road,Tsim Sha Tsui, Kowloon.",新康福賓館有限公司,九龍尖沙咀加拿分道40-46號香檳大廈5字樓,9632 0213/9440 7868,,
H/0486,WAI FAN GUEST HOUSE,"Flat F, 5/F, Golden Crown Court,68 Nathan Road,Tsim Sha Tsui, Kowloon.",偉帆賓館,九龍尖沙咀彌敦道68號金冠大廈5字樓F室,2369 1782,2368 1740,kennyinmart@gmail.com
H/0489,HONG KONG GUEST HOUSE,"Flat B1, Block B,12/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",香港賓館,九龍尖沙咀彌敦道40號重慶大廈B座12字樓B1室,3421 1640,2724 5071,
H/0490,HONG KONG YING GUEST HOUSE,"Flat B5, Block B,11/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",香港(英)招待所,九龍尖沙咀彌敦道40號重慶大廈B座11字樓B5室,2723 7842,2724 5071,
H/0494,"HONG KONG ""SUN"" GUEST HOUSE","Flat B3, Block B,12/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.","HONG KONG ""SUN"" GUEST HOUSE",九龍尖沙咀彌敦道40號重慶大廈B座12字樓B3室,3421 1640/9121 8072,2724 5071,
H/0495,ISLAND SHANGRI-LA HOTEL,"Pacific Place,88 Queensway,Hong Kong.",ISLAND SHANGRI-LA HOTEL,香港金鐘道88號太古廣場,2877 3838,2845 7015,isl@shangri-la.com
H/0498,SOUTH & NORTH HOUSE,"Flat D, E & F, 8/F, Pollock Building,9-10 Tak Hing Street,Jordan, Kowloon.",南北賓館,"九龍佐敦德興街9-10號寶來大廈8字樓D,E&F室",,,
H/0507,KOWLOON SHANGRI-LA HOTEL,"64 Mody Road,Tsim Sha Tsui East, Kowloon.",九龍香格里拉大酒店,九龍尖沙咀東麼地道64號,2721 2111,2723 8686,ksl@shangri-la.com
H/0521,YIU FAI GUEST HOUSE,"Flat E, 6/F, Golden Crown Court,68 Nathan Road, Tsim Sha Tsui, Kowloon.",耀暉賓館,九龍尖沙咀彌敦道68號金冠大廈6字樓E室,2369 1782,2368 1740,
H/0522,CHUN SHAN HOTEL,"Flat G, 9/F,Kingland Apartments,739 Nathan Road, Mong Kok, Kowloon.",中山賓館,九龍旺角彌敦道739號金輪大廈9字樓G室,2391 3436,2390 4738,858760884@qq.com
H/0536,HOLY HOLIES,"Flat A, B&C, 5/F, Pollock Building,9-10 Tak Hing Street,Jordan, Kowloon.",聖地,九龍佐敦德興街9-10號寶來大廈5字樓A、B及C室,6293 8880,,info@holyholies.com
